************************************************************************************************
*                                                                                              *
* INSERTION LIST REPORT                                                                        *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:09 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    VALUE            FOOTPRINT                      XCOORD       YCOORD       ROTATION BOARDSIDE    
-----------------------------------------------------------------------------------------------------------
305                         FORO 3.2 MM                     892.52 m     2021.56 m   0        TOP                       
J6         53261-0671       53261-0671                      1546.00 m    2796.00 m   180      TOP                       
J7         53398-0571       53398-0571                      700.00 m     666.00 m    0        TOP                       
J8         43045-0409       43045-0409                      432.33 m     2792.29 m   315      BOTTOM                    
J9         43650-0212       43650-0212                      432.78 m     2083.57 m   315      BOTTOM                    
J10        43045-0609       43045-0609                      636.12 m     1189.94 m   315      TOP                       
J11        43045-0409       43045-0409                      3630.00 m    844.00 m    0        TOP                       
J12        43045-0409       43045-0409                      4222.46 m    2709.64 m   45       BOTTOM                    
J13        43650-0212       43650-0212                      4221.97 m    2000.89 m   45       BOTTOM                    
J14        43045-0609       43045-0609                      4266.00 m    1360.00 m   45       TOP                       
J15        43045-0409       43045-0409                      2134.00 m    2540.00 m   180      BOTTOM                    
J16        43650-0212       43650-0212                      4200.00 m    648.00 m    0        TOP                       
J17        43045-0409       43045-0409                      2724.00 m    2540.06 m   180      BOTTOM                    
J18        46015-0403       46015-0403                      2806.00 m    354.00 m    180      BOTTOM                    
J19        46015-0403       46015-0403                      2098.00 m    354.00 m    180      BOTTOM                    
L1         33UH             4P8X4P8                         4280.00 m    808.00 m    180      BOTTOM                    
L2         33UH             4P8X4P8                         4248.00 m    464.00 m    180      BOTTOM                    
L3         15UH             XAL1010-153ME                   2144.00 m    2072.00 m   180      BOTTOM                    
L4         15UH             XAL1010-153ME                   2616.00 m    2072.00 m   180      BOTTOM                    
P1         53261-0271       53261-0271                      3418.00 m    2796.00 m   180      TOP                       
P2         53261-0771       53261-0771                      1252.00 m    2795.63 m   180      BOTTOM                    
P3         53261-0271       53261-0271                      4204.00 m    2796.00 m   180      TOP                       
P4         53261-0271       53261-0271                      3760.00 m    2795.93 m   180      BOTTOM                    
P5         53261-0271       53261-0271                      3810.00 m    2796.00 m   180      TOP                       
PB1        5GSH9358222      5GSH9_2LED                      1974.00 m    1458.00 m   0        TOP                       
PB2        5GSH9358222      5GSH9_2LED                      2766.00 m    1456.00 m   0        TOP                       
Q1         ZXMN2B14FH       SOT23_LOGEL                     3138.00 m    2912.00 m   0        TOP                       
Q2         SQM120N10-3M8    TO263_NEW                       2014.00 m    2167.50 m   90       TOP                       
Q3         SQM120N10-3M8    TO263_NEW                       2484.00 m    2167.50 m   90       TOP                       
Q4         SQM120N10-3M8    TO263_NEW                       2953.00 m    2168.50 m   90       TOP                       
Q5         SQM120N10-3M8    TO263_NEW                       3420.00 m    2169.50 m   90       TOP                       
Q6         IRFR4510PBF      TO252AA                         1656.00 m    2016.00 m   270      BOTTOM                    
Q7         IRFR4510PBF      TO252AA                         3016.00 m    2000.00 m   270      BOTTOM                    
Q8         SQM120N10-3M8    TO263_NEW                       2866.50 m    804.00 m    180      TOP                       
Q9         SQM120N10-3M8    TO263_NEW                       1875.50 m    802.00 m    0        TOP                       
R1         4K7              0402                            1680.00 m    1472.00 m   180      TOP                       
R2         4K7              0402                            856.00 m     1384.00 m   0        TOP                       
R3         10K              0402                            632.00 m     1800.00 m   0        TOP                       
R4         4K7              0402                            520.00 m     1832.00 m   0        TOP                       
R5         4K7              0402                            520.00 m     1800.00 m   0        TOP                       
R6         330R             0402                            1488.00 m    2104.00 m   90       TOP                       
R7         220R             0402                            1968.00 m    1696.00 m   0        TOP                       
R8         330R             0402                            1456.00 m    2104.00 m   90       TOP                       
R9         220R             0402                            2384.00 m    1608.00 m   180      TOP                       
R10        330R             0402                            1296.00 m    2104.00 m   90       TOP                       
R11        330R             0402                            1264.00 m    2104.00 m   90       TOP                       
R12        330R             0402                            1232.00 m    2104.00 m   90       TOP                       
R13        10K              0402                            3014.00 m    2860.00 m   0        TOP                       
R14        10K              0402                            1142.00 m    502.00 m    270      TOP                       
R15        10K              0402                            552.00 m     808.00 m    90       BOTTOM                    
R16        120R             0603                            432.00 m     376.00 m    90       BOTTOM                    
R17        330R             0402                            400.00 m     608.00 m    180      TOP                       
R18        0R               0402                            480.00 m     376.00 m    270      BOTTOM                    
R19        0R               0402                            352.00 m     808.00 m    90       BOTTOM                    
R20        10K              0402                            1152.00 m    2280.00 m   270      TOP                       
R21        100R             0603                            1216.00 m    2272.00 m   270      TOP                       
R22        330R             0402                            2214.00 m    1190.00 m   0        TOP                       
R23        330R             0402                            752.00 m     2248.00 m   0        TOP                       
R24        330R             0402                            752.00 m     2216.00 m   0        TOP                       
R25        330R             0402                            752.00 m     2184.00 m   0        TOP                       
