P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Inductance;Current;Tolerance;SRF;RMS;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
47;1122;;1;L1;4p8x4p8;L;33uH;820mA;10%;16MHz;;;;Inductance, 33uH, 820mA, 10%, SMD, 4.8X4.8x2.8mm;Wurth Elektronic;744043330;DIGI-KEY CORPORATION;732-1108-1-ND;Wurth Elektronic;744043330;RS COMPONENTS S.P.A.;744-4763;Bourns;SRR4028-330Y;DIGI-KEY CORPORATION;SRR4028-330YCT-ND;;;;;;
48;1711;;1;L2;4p8X4p8;L;47uH;750mA;30%;13MHz;;;;Inductance, 47uH, 750mA, 30%, SMD, 4.8X4.8x2.8mm;Bourns;SRR4028-470Y;DIGI-KEY CORPORATION;SRR4028-470YCT-ND;Bourns;SRR4028-470Y;MOUSER ELECTRONICS;652-SRR4028-470Y;Wurth Elektronic;744043470;FARNELL ITALIA S.R.L.;1890607;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
49;12347;;1;HS;;MC;MPC151525T;;;;;;;heatsink, ceramic, 10.21 °C/W, 2 mm, 15 mm, 15 mm;AMEC THERMASOL;MPC151525T;FARNELL ITALIA S.R.L.;1892471;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Memory_dimension;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
50;4125;;1;U2;TSSOP8;ME;AT24CM01-XHD-B;1Mbit;;;;;;EEPROM memory, 1Mbit, 1Mhz, 2.5/5.5V, SMD, TSSOP8;Atmel;AT24C1024B-TH25-B;DIGI-KEY CORPORATION;AT24C1024B-TH25-B-ND;Atmel;AT24C1024B-TH25-B;MOUSER ELECTRONICS;556-A24C1024BTH25-B;Atmel;AT24CM01-XHD-B;MOUSER ELECTRONICS;556-AT24CM01-XHD-B;Atmel;AT24CM01-XHD-B;DIGI-KEY CORPORATION;AT24CM01-XHD-TCT-ND;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
51;5111;;1;U1;UFBGA10X10-201;MI;STM32F407IGH6;32bit;;;;;;Microcontroller ARM Cortex-M4, 32Bits, 168MHz, 1024kB FLASH, 192kB SRAM, 1.8/3.6V, SMD, UFBGA10X10-201;St microelectronics;STM32F407IGH6;MOUSER ELECTRONICS;511-STM32F407IGH6;St microelectronics;STM32F407IGH6;RS COMPONENTS S.P.A.;746-8210;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Load capacitance;Stability;Frequency;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
52;1226;;1;U18;S2;Q;S23305-50.000-X;-;50ppm;50MHz;;;;Oscillator, 50MHz, 3.3V, 50ppm, SMD, 2.5x2mm;Aker;S23305-50.000-X;RS COMPONENTS S.P.A.;671-9808;Kyocera;KC2520B50.0000C10E00;MOUSER ELECTRONICS;581-KC2520B50.0C10;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Voltage;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
53;267;;1;R89;603;R;1K8;0.1W;1%;100ppm;;;;Resistor Thick Film, 1K8, 0.1W, 1%, SMD, 0603;Phycomp;2,3227E+11;FARNELL ITALIA S.R.L.;9238514;Phycomp;2,3227E+11;FARNELL ITALIA S.R.L.;RC0603FR-071K8L;;;;;;;;;;
54;808;;2;R81 R88;603;R;22K;0.1W;0.1%;25ppm;;;;Resistor Precision thin film, 22K, 0.1W, 0.1%, SMD, 0603;Panasonic;ERA3AEB223V;FARNELL ITALIA S.R.L.;1577624;;;;;;;;;;;;;;
55;1080;;4;FL6 FL7 R143 R144;402;R;0R;0.063W;1%;200ppm;;;;Resistor Thick film, 0R, 0.063W, 1%, SMD, 0402;Yageo;RC0402JR-070RL;FARNELL ITALIA S.R.L.;9232516;Yageo;RC0402JR-070RL;DIGI-KEY CORPORATION;311-0.0JRDKR-ND;;;;;;;;;;
56;1081;;8;R95 R96 R97 R98 R102 R103 R104 R105;402;R;49R9;0.063W;1%;200ppm;;;;Resistor Thick film, 49R9, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 49R9;FARNELL ITALIA S.R.L.;1802906RL;Vishay;CRCW040249R9FKEDHP;RS COMPONENTS S.P.A.;812-1681;;;;;;;;;;
57;1084;;4;R121 R122 R123 R124;402;R;75R;0.063W;1%;100ppm;;;;Resistor Thick film, 75R, 0.063W, 1%, SMD, 0402;Vishay;CRCW040275R0FKED;FARNELL ITALIA S.R.L.;1469734RL;;;;;;;;;;;;;;
58;1085;;3;R27 R53 R125;402;R;100R;0.063W;1%;100ppm;;;;Resistor Thick film, 100R, 0.063W, 1%, SMD, 0402;Vishay;CRCW0402100RFKED;FARNELL ITALIA S.R.L.;1469672RL;;;;;;;;;;;;;;
59;1086;;1;R92;402;R;120R;0.063W;1%;100ppm;;;;Resistor Thick film, 120R, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-07120RL;FARNELL ITALIA S.R.L.;9239120;Yageo;RC0402FR-07120RL;DIGI-KEY CORPORATION;311-120LRDKR-ND;;;;;;;;;;
60;1100;;17;R82 R23 R24 R25 R26 R28 R32 R33 R51 R52 R54 R55 R58 R59 R108 R141 R142;402;R;1K;0.063W;1%;250ppm;;;;Resistor Thick film, 1K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-071KL;FARNELL ITALIA S.R.L.;9239235;Vishay;CRCW04021K00FKED;FARNELL ITALIA S.R.L.;1469662RL;Vishay;CRCW04021K00FKED;MOUSER ELECTRONICS;603-RC0402FR-071KL;;;;;;
61;1104;;11;R12 R16 R18 R90 R91 R99 R112 R20 R31 R48 R57;402;R;1K8;0.063W;1%;200ppm;;;;Resistor Thick film, 1K8, 0.063W, 1%, SMD, 0402;Panasonic;ERJ2RKF1801X;FARNELL ITALIA S.R.L.;1748232;;;;;;;;;;;;;;
62;1105;;3;R78 R139 R140;402;R;2K2;0.063W;1%;250ppm;;;;Resistor Thick film, 2K2, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-072K2L;FARNELL ITALIA S.R.L.;9239278RL;;;;;;;;;;;;;;
63;1106;;1;R120;402;R;3K01;0.063W;1%;100ppm;;;;Resistor Thick film, 3K01, 0.063W, 1%, SMD, 0402;Vishay;CRCW04023K01FKED;FARNELL ITALIA S.R.L.;1151124;;;;;;;;;;;;;;
64;1107;;27;R7 R8 R9 R10 R11 R13 R14 R15 R17 R19 R46 R47 R73 R74 R75 R76 R128 R129 R130 R131 R132 R133 R134 R135 R136 R137 R138;402;R;4K7;0.063W;1%;100ppm;;;;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;;;;;;;;;;;;;;
65;1109;;12;R6 R36 R39 R63 R68 R93 R94 R109 R110 R119 R126 R127;402;R;10K;0.063W;1%;250ppm;;;;Resistor Thick film, 10K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0710KL;FARNELL ITALIA S.R.L.;9239359RL;Yageo;RC0402FR-0710KL;MOUSER ELECTRONICS;603-RC0402FR-0710KL;;;;;;;;;;
66;1112;;5;R1 R42 R43 R69 R70;402;R;22K;0.063W;1%;250ppm;;;;Resistor Thick film, 22K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0722KL;FARNELL ITALIA S.R.L.;9239391RL;;;;;;;;;;;;;;
67;1113;;6;R2 R5 R44 R45 R71 R72;402;R;33K;0.063W;1%;250ppm;;;;Resistor Thick film, 33K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0733KL;FARNELL ITALIA S.R.L.;9239413RL;;;;;;;;;;;;;;
68;1114;;1;R77;402;R;68K;0.063W;1%;250ppm;;;;Resistor Thick film, 68K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0768K;FARNELL ITALIA S.R.L.;9239456RL;;;;;;;;;;;;;;
69;1116;;2;RR4 RR5;YC124;R;2K2;0.063W;5%;200ppm;;;;Resistor Array, 4x2K2, 0.063W,1%, SMD, YC124;Yageo;YC124-JR-072K2L;FARNELL ITALIA S.R.L.;9235388;;;;;;;;;;;;;;
