[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
